#
PriLevel,SecLevel,Trigger,Sync,RefTime,MaxTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms,ms
0.0,1.0,0.0,0.0,215744.81,215744.81,3.108,215744.81
1.0,1.0,0.0,0.0,215747.17,215747.17,2.356,215747.17
0.0,1.0,0.0,0.0,215750.11,215750.11,2.936,215750.11
1.0,1.0,0.0,0.0,215752.28,215752.28,2.176,215752.28
0.0,1.0,0.0,0.0,215755.16,215755.16,2.872,215755.16
1.0,1.0,0.0,0.0,215757.27,215757.27,2.112,215757.27
0.0,1.0,0.0,0.0,215759.89,215759.89,2.616,215759.89
1.0,1.0,0.0,0.0,215761.88,215761.88,1.988,215761.88
0.0,1.0,0.0,0.0,215764.58,215764.58,2.708,215764.58
1.0,1.0,0.0,0.0,215766.56,215766.56,1.98,215766.56
0.0,1.0,0.0,0.0,215769.11,215769.11,2.544,215769.11
1.0,1.0,0.0,0.0,215774.42,215774.42,5.316,215774.42
0.0,1.0,0.0,0.0,215783.38,215783.38,8.952,215783.38
1.0,1.0,0.0,0.0,215785.53,215785.53,2.152,215785.53
0.0,1.0,0.0,0.0,215788.47,215788.47,2.94,215788.47
1.0,1.0,0.0,0.0,215790.75,215790.75,2.288,215790.75
0.0,1.0,0.0,0.0,215794.28,215794.28,3.536,215794.28
1.0,1.0,0.0,0.0,215796.83,215796.83,2.54,215796.83
0.0,1.0,0.0,0.0,215800.83,215800.83,3.996,215800.83
1.0,1.0,0.0,0.0,215803.8,215803.8,2.972,215803.8
0.0,1.0,0.0,0.0,215807.5,215807.5,3.708,215807.5
1.0,1.0,0.0,0.0,215809.94,215809.94,2.436,215809.94
0.0,1.0,0.0,0.0,215813.36,215813.36,3.424,215813.36
1.0,1.0,0.0,0.0,215815.97,215815.97,2.612,215815.97
0.0,1.0,0.0,0.0,215820.06,215820.06,4.084,215820.06
1.0,1.0,0.0,0.0,215822.9,215822.9,2.844,215822.9
0.0,1.0,0.0,0.0,215826.52,215826.52,3.612,215826.52
1.0,1.0,0.0,0.0,215829.17,215829.17,2.66,215829.17
0.0,1.0,0.0,0.0,215833.17,215833.17,4.0,215833.17
1.0,1.0,0.0,0.0,215836.22,215836.22,3.04,215836.22
0.0,1.0,0.0,0.0,215840.06,215840.06,3.84,215840.06
1.0,1.0,0.0,0.0,215842.84,215842.84,2.78,215842.84
0.0,1.0,0.0,0.0,215846.94,215846.94,4.104,215846.94
1.0,1.0,0.0,0.0,215849.84,215849.84,2.904,215849.84
0.0,1.0,0.0,0.0,215853.81,215853.81,3.964,215853.81
1.0,1.0,0.0,0.0,215856.62,215856.62,2.812,215856.62
0.0,1.0,0.0,0.0,215860.38,215860.38,3.748,215860.38
1.0,1.0,0.0,0.0,215863.06,215863.06,2.692,215863.06
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
0.0,0.0,0.0,0.0,0.0,215863.06,-215863.06,0.0
