#Firmware: Speeduino 2021.09-dev
PriLevel,SecLevel,Trigger,Sync,RefTime,MaxTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms,ms
1.0,0.0,1.0,0.0,35074.043,35074.043,NaN,35074.043
1.0,1.0,1.0,0.0,35074.805,35074.805,0.76,35074.805
0.0,1.0,0.0,0.0,41889.566,41889.566,6814.764,41889.566
1.0,1.0,0.0,0.0,41890.832,41890.832,1.264,41890.832
0.0,1.0,0.0,0.0,41891.13,41891.13,0.296,41891.13
1.0,1.0,0.0,0.0,41902.484,41902.484,11.356,41902.484
0.0,1.0,0.0,0.0,41936.56,41936.56,34.076,41936.56
1.0,1.0,0.0,0.0,41942.41,41942.41,5.852,41942.41
0.0,1.0,0.0,0.0,41950.402,41950.402,7.992,41950.402
1.0,1.0,0.0,0.0,41954.94,41954.94,4.536,41954.94
0.0,1.0,0.0,0.0,41961.176,41961.176,6.236,41961.176
1.0,1.0,0.0,0.0,41965.633,41965.633,4.456,41965.633
0.0,1.0,0.0,0.0,41971.69,41971.69,6.06,41971.69
1.0,1.0,0.0,0.0,41976.055,41976.055,4.364,41976.055
0.0,1.0,0.0,0.0,41981.797,41981.797,5.74,41981.797
1.0,1.0,0.0,0.0,41985.98,41985.98,4.184,41985.98
0.0,1.0,0.0,0.0,41991.805,41991.805,5.824,41991.805
1.0,1.0,0.0,0.0,41995.957,41995.957,4.152,41995.957
0.0,1.0,0.0,0.0,42001.824,42001.824,5.868,42001.824
1.0,1.0,0.0,0.0,42005.79,42005.79,3.964,42005.79
0.0,1.0,0.0,0.0,42011.207,42011.207,5.42,42011.207
1.0,1.0,0.0,0.0,42015.19,42015.19,3.984,42015.19
0.0,1.0,0.0,0.0,42020.926,42020.926,5.732,42020.926
1.0,1.0,0.0,0.0,42024.848,42024.848,3.924,42024.848
0.0,1.0,0.0,0.0,42030.31,42030.31,5.46,42030.31
1.0,1.0,0.0,0.0,42034.145,42034.145,3.836,42034.145
0.0,1.0,0.0,0.0,42039.367,42039.367,5.224,42039.367
