#
ToothTime,Time
uS,uS
MARK 000
1.778,1.778
200628,178093680
69740,178163424
67744,178231168
54432,178285600
66232,178351840
52496,178404336
65588,178469920
53384,178523296
65240,178588544
51960,178640512
65460,178705968
52020,178757984
65076,178823056
86828,178909888
119124,179029008
74308,179103312
80548,179183856
52244,179236096
64204,179300304
52212,179352512
60348,179412864
109936,179522800
51284,179574080
63556,179637632
50128,179687760
62976,179750736
44400,179795136
53064,179848192
22448,179870640
36640,179907280
27724,179935008
48048,179983056
39828,180022880
47664,180070544
23404,180093952
40244,180134192
28352,180162544
48904,180211456
41292,180252752
59532,180312288
45724,180358016
66060,180424080
47892,180471968
64752,180536720
49104,180585824
67420,180653248
50468,180703712
67596,180771312
51356,180822672
69136,180891808
51892,180943696
69244,181012944
51952,181064896
69612,181134512
52516,181187024
70420,181257440
52812,181310256
70876,181381136
52512,181433648
69656,181503296
52056,181555360
70000,181625360
52444,181677808
69212,181747024
52716,181799744
68712,181868448
50356,181918800
68988,181987792
51008,182038800
68328,182107136
51228,182158368
68040,182226400
51792,182278192
68660,182346848
51024,182397872
69732,182467600
51632,182519232
68900,182588128
51668,182639792
68824,182708608
52260,182760864
69592,182830464
51764,182882224
69108,182951328
51424,183002752
69392,183072144
51536,183123680
69000,183192672
51932,183244608
69664,183314272
50672,183364944
69404,183434352
51116,183485472
68928,183554400
51516,183605920
69452,183675376
52076,183727456
70376,183797824
52080,183849904
68956,183918864
51336,183970208
69956,184040160
51680,184091840
68584,184160416
52080,184212496
69264,184281760
50352,184332112
69296,184401408
51112,184452512
68280,184520800
51252,184572048
68724,184640768
51900,184692672
69512,184762176
50752,184812928
69480,184882400
50748,184933152
68548,185001696
51348,185053040
68976,185122016
52452,185174464
69952,185244416
52564,185296976
69640,185366624
52348,185418976
70144,185489120
MARK 001
MARK 002
